Zone,Borough,fare_amount,zone_avg,borough_avg,total_avg
Allerton/Pelham Gardens,Bronx,14.8,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,21.95,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,35.14,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,16.34,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,30.5,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,53.08,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,26.77,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,42.28,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,38.52,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,50.03,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,35.14,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,54.5,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,21.5,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,30.2,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,11.51,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,28.02,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,45.83,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,39.5,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,25.1,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,14.2,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,24.83,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,13.77,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,42,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,9.93,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,25.1,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,18.01,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,10.43,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,8,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,8,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,30.09,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,72,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,12.29,31.275780141844,27.6302402926042,12.9290822023433
Allerton/Pelham Gardens,Bronx,32.84,31.275780141844,27.6302402926042,12.9290822023433
